Location in Stile,Type of video,Location of video
Stile Science/Women in STEM career profiles/Biochemists and developers of CRISPR: Jennifer Doudna & Emmanuelle Charpentier,YouTube,https://youtube.com/watch?v=Fb8Izn1xkG8
Stile Science/Women in STEM career profiles/Astronaut: Stephanie Wilson,Upload,https://stileapp.com/uploads/au/T20210301-6e73262cdbd30a763161b5cefd51896d93d5a50949448fb4a86d67/Stephanie_Wilson_On_What_It_Is_Like_Traveling_Into_Space.mp4?response-content-disposition=attachment;%20filename=%22Stephanie_Wilson_On_What_It_Is_Like_Traveling_Into_Space.mp4%22&AWSAccessKeyId=AKIA2QKKJOUGJ6SJRN44&Expires=1626829200&Signature=SsDRyS1OzapUhPAxrV9t0j4l6JU%3D
Stile Science/Women in STEM career profiles/Stem cell researcher: Amy Wong,Upload,https://stileapp.com/uploads/au/T20171002-41fe5cdddc3ac73436dd8eac8c888cf2e8a5248bc1ef3a71e2814e/What_are_stem_cells_-_Part_1_edit.mp4?response-content-disposition=attachment;%20filename=%22What_are_stem_cells_-_Part_1_edit.mp4%22&AWSAccessKeyId=AKIA2QKKJOUGJ6SJRN44&Expires=1626750000&Signature=NgDZclkz22YvZJVT2Zws6NkraPk%3D
Stile Science/Women in STEM career profiles/Marine ecologist and CEO: Pia Winberg,Upload,https://stileapp.com/uploads/au/T20201015-29bfdf4e160fa2e9b119349e2d83e75ff41b2c6f15a0dfc54e7612/Dr_Pia_Winberg_-_Marine_Ecologist___Entrepreneur.mp4?response-content-disposition=attachment;%20filename=%22Dr_Pia_Winberg_-_Marine_Ecologist___Entrepreneur.mp4%22&AWSAccessKeyId=AKIA2QKKJOUGHVZ5OCIA&Expires=1626771600&Signature=U9ZWW%2FOxshW%2FU5ZiwxwcPSACeE0%3D
Stile Science/Women in STEM career profiles/Marine ecologist and CEO: Pia Winberg,Upload,https://stileapp.com/uploads/au/T20201014-469ab57942056a755464163d5ac27c7974c426ec636ba25d4efa80/Kelp_Could_Save_Our_Oceans___If_You_Eat_It__HBO_.mp4?response-content-disposition=attachment;%20filename=%22Kelp_Could_Save_Our_Oceans___If_You_Eat_It__HBO_.mp4%22&AWSAccessKeyId=AKIA2QKKJOUGHVZ5OCIA&Expires=1626771600&Signature=WAZHt2q%2FNQRgdIyZKQPuUVNAtyY%3D
Stile Science/Women in STEM career profiles/Earthquake geologist: Tamarah King,Upload,https://stileapp.com/uploads/au/T20180613-6fc8a07c537c3b18758fdc8063287154907d2bca14414dc2c66336/111217_TamarahKingEarthquakeGeologist_UC.mp4.mp4?response-content-disposition=attachment;%20filename=%22111217_TamarahKingEarthquakeGeologist_UC.mp4.mp4%22&AWSAccessKeyId=AKIA2QKKJOUGJ6SJRN44&Expires=1626822000&Signature=5iYjh%2FQg%2BwthpdVuV3Czylj1fjw%3D
Stile Science/Women in STEM career profiles/Zoo researcher: Marissa Parrott,Upload,https://stileapp.com/uploads/au/T20180708-fca1f5db6617fe3fa54c43ee12847c8da4703fff800fe30e03a7d1/A_Day_in_the_Life_of_Zoo_Researcher_Dr._Marissa_Parrott.mp4?response-content-disposition=attachment;%20filename=%22A_Day_in_the_Life_of_Zoo_Researcher_Dr._Marissa_Parrott.mp4%22&AWSAccessKeyId=AKIA2QKKJOUGJ6SJRN44&Expires=1626750000&Signature=SNQNFsmnviXLjWPzuUxYsf%2BscIY%3D
Stile Science/Women in STEM career profiles/Professor of astrophysics: Tamara Davis,Upload,https://stileapp.com/uploads/au/c485505f767c8cee335dc864d13a42a5c231806b89f9ffa5523d8d1836655a15/The_Future_s_looking_up__Prof_Tamara_Davis_about_careers_in_astronomy_-_crop.mp4?response-content-disposition=attachment;%20filename=%22The_Future_s_looking_up__Prof_Tamara_Davis_about_careers_in_astronomy_-_crop.mp4%22&AWSAccessKeyId=AKIA2QKKJOUGHVZ5OCIA&Expires=1626764400&Signature=NXytsormVfdVafC6s%2FuIJ5vUKLo%3D
Stile Science/Science news lessons/The changing coronavirus,Upload,https://stileapp.com/uploads/au/T20210316-de4107535402dc53512766a193fd6d399b9205ae365cd501273dfb/AdobeStock_336216359.mov?response-content-disposition=attachment;%20filename=%22AdobeStock_336216359.mov%22&AWSAccessKeyId=AKIA2QKKJOUGHVZ5OCIA&Expires=1626796800&Signature=sh76nS%2FTo56tJlaYpG8M4CCDmEg%3D
Stile Science/Science news lessons/The changing coronavirus,Upload,https://stileapp.com/uploads/au/T20210222-739c9c06693a46410a038670b21567bff58264872912a575958b4b/Theo_San_Twitter_video.mp4?response-content-disposition=attachment;%20filename=%22Theo_San_Twitter_video.mp4%22&AWSAccessKeyId=AKIA2QKKJOUGHVZ5OCIA&Expires=1626796800&Signature=ThqSCfbMDs2EFaa%2BU9uBfvOLEjE%3D
